what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.tasks.ui,3.8.4.v20130429-0100,"org.eclipse.mylyn.tasks.ui",1441908342891
started,bundle,org.eclipse.mylyn.team.ui,3.8.4.v20130429-0100,"org.eclipse.mylyn.team.ui",1441908342891
started,bundle,org.jboss.tools.usage,1.1.0.v20130102-1715-H74-Final,"org.jboss.tools.usage",1441908342891
os,sysinfo,,,"win32",1441908342891
arch,sysinfo,,,"x86_64",1441908342891
ws,sysinfo,,,"win32",1441908342891
locale,sysinfo,,,"en_US",1441908342891
processors,sysinfo,,,"4",1441908342891
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1441908342891
java.runtime.version,sysinfo,,,"1.7.0_71-b14",1441908342891
java.specification.name,sysinfo,,,"Java Platform API Specification",1441908342891
java.specification.vendor,sysinfo,,,"Oracle Corporation",1441908342891
java.specification.version,sysinfo,,,"1.7",1441908342891
java.vendor,sysinfo,,,"Oracle Corporation",1441908342891
java.version,sysinfo,,,"1.7.0_71",1441908342891
java.vm.info,sysinfo,,,"mixed mode",1441908342891
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1441908342891
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1441908342891
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1441908342891
java.vm.specification.version,sysinfo,,,"1.7",1441908342891
java.vm.vendor,sysinfo,,,"Oracle Corporation",1441908342891
java.vm.version,sysinfo,,,"24.71-b01",1441908342891
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1441908343702
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1441908343718
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1441908343843
started,bundle,org.jboss.ide.eclipse.archives.core,3.3.1.v20130102-1730-H94-Final,"org.jboss.ide.eclipse.archives.core",1441908343858
started,bundle,org.jboss.ide.eclipse.archives.webtools,2.3.2.v20130112-0201-H153-Final,"org.jboss.ide.eclipse.archives.webtools",1441908343858
started,bundle,org.jboss.ide.eclipse.as.wtp.core,2.3.2.v20130112-0201-H153-Final,"org.jboss.ide.eclipse.as.wtp.core",1441908343874
