what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.monitor.ui,3.8.4.v20130429-0100,"org.eclipse.mylyn.monitor.ui",1440701468716
started,bundle,org.eclipse.mylyn.tasks.ui,3.8.4.v20130429-0100,"org.eclipse.mylyn.tasks.ui",1440701468716
started,bundle,org.eclipse.mylyn.team.ui,3.8.4.v20130429-0100,"org.eclipse.mylyn.team.ui",1440701468721
started,bundle,org.jboss.tools.usage,1.1.0.v20130102-1715-H74-Final,"org.jboss.tools.usage",1440701468721
os,sysinfo,,,"win32",1440701468726
arch,sysinfo,,,"x86_64",1440701468726
ws,sysinfo,,,"win32",1440701468726
locale,sysinfo,,,"en_US",1440701468726
processors,sysinfo,,,"4",1440701468726
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1440701468726
java.runtime.version,sysinfo,,,"1.7.0_71-b14",1440701468726
java.specification.name,sysinfo,,,"Java Platform API Specification",1440701468726
java.specification.vendor,sysinfo,,,"Oracle Corporation",1440701468726
java.specification.version,sysinfo,,,"1.7",1440701468726
java.vendor,sysinfo,,,"Oracle Corporation",1440701468726
java.version,sysinfo,,,"1.7.0_71",1440701468726
java.vm.info,sysinfo,,,"mixed mode",1440701468726
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1440701468726
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1440701468726
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1440701468726
java.vm.specification.version,sysinfo,,,"1.7",1440701468726
java.vm.vendor,sysinfo,,,"Oracle Corporation",1440701468726
java.vm.version,sysinfo,,,"24.71-b01",1440701468726
started,bundle,org.eclipse.jst.jee,1.0.402.v201202021530,"org.eclipse.jst.jee",1440701469253
started,bundle,org.eclipse.wst.dtd.core,1.1.501.v201107252021,"org.eclipse.wst.dtd.core",1440701469283
started,bundle,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui",1440701469293
started,bundle,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.ui",1440701469293
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1440701469318
started,bundle,org.eclipse.jst.jsf.common,1.2.3.v201104061039,"org.eclipse.jst.jsf.common",1440701469333
started,bundle,org.eclipse.jst.jsf.core,1.3.105.v201108261005,"org.eclipse.jst.jsf.core",1440701469338
started,bundle,org.eclipse.jst.jsp.core,1.2.402.v201112071853,"org.eclipse.jst.jsp.core",1440701469373
started,bundle,org.jboss.ide.eclipse.archives.core,3.3.1.v20130102-1730-H94-Final,"org.jboss.ide.eclipse.archives.core",1440701469423
